name,rankingPosition,priceLevel,category,rating,address,Latitude,Longitude,numberOfReviews
Lucy Liu Kitchen and Bar,67,$$ - $$$,restaurant,4.5,"23 Oliver Lane, Melbourne, Victoria 3000 Australia",-37.8159928,144.9699538,1195
Max Bar Restaurant,63,$$ - $$$,restaurant,4,"54 - 58 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8133408,144.9611612,1405
San Telmo,66,$$ - $$$,restaurant,4.5,"14 Meyers Pl, Melbourne, Victoria 3000 Australia",-37.8121868,144.9724559,709
Bamboo House Chinese Restaurant,90,$$ - $$$,restaurant,4.5,"47 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8109675,144.9711221,405
Vue De Monde,33,$$$$,restaurant,4.5,"525 Collins St Rialto Building 55th Floor, Melbourne, Victoria 3000 Australia",-37.8183961,144.957721,2035
Il Bacaro Cucina e Bar,12,$$$$,restaurant,4.5,"68-170 Little Collins St 168-170 Little Collins St, Melbourne, Victoria 3000 Australia",-37.8138632,144.967994,504
Grand Trailer Park Taverna,82,$$ - $$$,restaurant,4.5,"87 Bourke St, Melbourne, Victoria 3000 Australia",-37.8121554,144.9708994,296
B'Churrasco Brazilian BBQ,43,$$ - $$$,restaurant,4.5,"61 A'Beckett St, Melbourne, Victoria 3000 Australia",-37.8091543,144.9616982,557
The Hardware Societe,35,$$ - $$$,restaurant,4.5,"10 Katherine Pl, Melbourne, Victoria 3000 Australia",-37.8200218,144.9566345,1879
Supernormal,53,$$ - $$$,restaurant,4.5,"180 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.815972,144.9683489,1619
Embla,70,$$ - $$$,restaurant,4.5,"122 Russell St, Melbourne, Victoria 3000 Australia",-37.813394,144.9686092,266
Cucinetta,10,$$ - $$$,restaurant,4.5,"U 4 3 Murphy St South Yarra, Melbourne, Victoria 3141 Australia",-37.8382844,144.9900594,401
Chocolate Buddha,32,$$ - $$$,restaurant,4.5,"Cnr. Flinders & Swanston Street Federation Square, Melbourne, Victoria 3000 Australia",-37.8175103,144.9675235,717
The Grain Store,39,$$ - $$$,restaurant,4.5,"Ground Floor 517 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8196561,144.95653,1248
Cargo Restaurant,86,$$ - $$$,restaurant,4.5,"Docklands Melbourne, Melbourne, Victoria 3008 Australia",-37.8170652,144.9419122,696
Cecconi's Flinders Lane,80,$$$$,restaurant,4.5,"61 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8150555,144.9725293,539
MoVida Next Door,73,$$ - $$$,restaurant,4.5,"164 Flinders St, Melbourne, Victoria 3000 Australia",-37.8167888,144.9691739,528
Punch Lane,34,$$ - $$$,restaurant,4.5,"43 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8109091,144.9713803,667
DOC Pizza & Mozzarella Bar,91,$$ - $$$,restaurant,4.5,"295 Drummond St, Melbourne, Victoria 3053 Australia",-37.7989674,144.9684753,672
Kenzan Japanese Restaurant,105,$$ - $$$,restaurant,4.5,"56 Flinders Lane At Collins Place, Melbourne, Victoria 3000 Australia",-37.8144879,144.9729852,278
Seasons Provedore,102,$$ - $$$,restaurant,4.5,"199 Lygon St, Melbourne, Victoria 3053 Australia",-37.800967,144.966654,494
1806,110,$$ - $$$,restaurant,4.5,"169 Exhibition St, Melbourne, Victoria 3000 Australia",-37.811684,144.9701283,259
The Meat & Wine Co Southbank,112,$$ - $$$,restaurant,4,"3 Freshwater Pl 3 Queensbridge Street, Melbourne, Victoria 3006 Australia",-37.8215031,144.961902,1478
Philippe,103,$$$$,restaurant,4.5,"115 Collins St, Melbourne, Victoria 3000 Australia",-37.8147295,144.9700165,261
The Quarter,94,$$ - $$$,restaurant,4,"27 Degraves St, Melbourne, Victoria 3000 Australia",-37.8170427,144.9654783,745
Cookie,95,$$ - $$$,restaurant,4,"U 1 252 Swanston St Level 1, 252 Swanston St, Melbourne, Victoria 3000 Australia",-37.8120083,144.9651728,1050
P.J.O'Brien's Irish Pub,92,$$ - $$$,restaurant,4,"Southgate Southgate Restaurant & Shopping Precinct, Melbourne, Victoria 3006 Australia",-37.8203389,144.9660726,544
The  European,97,$$ - $$$,restaurant,4,"161 Spring St, Melbourne, Victoria 3000 Australia",-37.8108981,144.9725911,951
Rosco's at Chevron Cafe Bar,118,$$ - $$$,restaurant,4.5,"14/519 St Kilda Rd, Melbourne, Victoria 3004 Australia",-37.8453253,144.9794322,262
Hakata Gensuke Ramen,54,$,restaurant,4.5,"168 Russell St, Melbourne, Victoria 3000 Australia",-37.8122628,144.9681737,369
Taxi Kitchen,76,$$ - $$$,restaurant,4.5,"Level 1, Federation Square, Flinders Street Transport Hotel, Melbourne, Victoria 3000 Australia",-37.8183938,144.9684217,953
Bomba,65,$$ - $$$,restaurant,4.5,"103 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.8104213,144.9691111,457
Cumulus Inc.,59,$$ - $$$,restaurant,4.5,"45 Flinders La, Melbourne, Victoria 3000 Australia",-37.8148032,144.9730757,2123
Gingerboy,77,$$ - $$$,restaurant,4.5,"27-29 Crossley St, Melbourne, Victoria 3000 Australia",-37.8112002,144.9709745,990
Grill Steak Seafood,68,$$ - $$$,restaurant,4.5,"68 - 78 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.8130614,144.9610642,1479
Milk the Cow,2,$$ - $$$,restaurant,4.5,"U 1 157 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",-37.8589,144.97947,338
Berth,109,$$ - $$$,restaurant,4,"45 New Quay Promenade Docklands, Melbourne, Victoria 3008 Australia",-37.8151482,144.9418505,568
Carlton Wine Room,142,$$ - $$$,restaurant,4.5,"172-174 Faraday Street Carlton, Melbourne, Victoria Australia",-37.7986111,144.9686111,205
Mamasita,135,$$ - $$$,restaurant,4,"11 Collins St, Melbourne, Victoria 3000 Australia",-37.8137892,144.9734671,1307
The Meatball and Wine Bar,132,$$ - $$$,restaurant,4,"135 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.8157447,144.970197,699
A Hereford Beefstouw,139,$$ - $$$,restaurant,4.5,"22 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.8158063,144.9713154,199
Cafe Rosco,130,$$ - $$$,restaurant,4.5,"407D St Kilda Rd, Melbourne, Victoria 3004 Australia",-37.8361923,144.9761994,232
BangPop,119,$$ - $$$,restaurant,4,"35 South Wharf Promenade Off Dukes Walk, South Wharf, Melbourne, Victoria 3006 Australia",-37.824201,144.95135,559
